,area,centroid,mean_intensity,perimeter,row,column,circularity
1007,495,"(1137.2868686868687, 481.4888888888889)",0.5996910279263221,81.01219330881975,22,9,0.9477947140835215
1008,511,"(1136.8199608610566, 694.9041095890411)",0.5896934116112198,82.18376618407356,22,13,0.9507332551452935
1009,384,"(1135.7916666666667, 748.015625)",0.5898080065359478,70.76955262170047,22,14,0.963492166499022
1010,457,"(1136.433260393873, 1388.5754923413567)",0.5731840219676491,77.35533905932738,22,26,0.9597220566350729
1011,517,"(1137.2224371373306, 1813.3984526112185)",0.5846702317290552,82.18376618407356,22,34,0.9618964636205808
1012,466,"(1137.5815450643777, 374.78969957081546)",0.5676933434317932,78.18376618407356,22,7,0.9579935979112775
1013,403,"(1136.3176178660049, 587.8461538461538)",0.5577287987155158,71.94112549695429,22,11,0.9784991534927758
1014,361,"(1136.0969529085874, 1015.6094182825485)",0.5961979251534409,68.52691193458118,22,19,0.9660391855520712
1015,417,"(1136.558752997602, 1228.9976019184653)",0.58392815159637,73.11269837220809,22,23,0.9803029139062326
1016,412,"(1136.5169902912621, 1494.0)",0.5827146392537598,71.94112549695429,22,28,1.0003514919082472
1017,383,"(1136.6553524804178, 1600.1958224543082)",0.6010648645881329,69.94112549695427,22,30,0.9838828818692363
1018,440,"(1137.5386363636364, 1920.5795454545455)",0.5961408199643494,75.59797974644665,22,36,0.9674803678480025
1019,569,"(1139.0579964850615, 2240.678383128295)",0.5848719804266169,86.42640687119285,22,42,0.9572584633982673
1020,610,"(1139.7688524590164, 2400.1360655737703)",0.6057280617164899,89.84062043356595,22,45,0.9497170046162167
1021,481,"(1138.2536382536382, 267.6881496881497)",0.6100444335738455,80.18376618407356,22,5,0.9401172867371498
1022,292,"(1136.126712328767, 641.0753424657535)",0.5372683319903303,60.87005768508881,22,12,0.990342207810286
1023,315,"(1136.4063492063492, 1706.863492063492)",0.5715406162464985,63.94112549695428,22,32,0.9681883773454034
1024,396,"(1138.138888888889, 2027.1262626262626)",0.5702317290552584,72.18376618407356,22,38,0.9550497049201266
1025,585,"(1140.1811965811967, 2506.2923076923075)",0.6049203955086307,88.42640687119284,22,47,0.9401600085008653
